T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,0,0,-391735.725308908,-0,-0,-208000,0,0,0,-1916.11,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,0.484874998794821,-599735.725308908,98083.89,0.254685102,0.19521
3600,0,0,-395127.288299268,-0,-0,-395127.2883,0,0,0,-1745.93,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.541450335893943,0.5,0.5,0.469749997589641,-790254.576599268,98254.07,0.235038489,0.17445
7200,0,0,-386838.771823544,-0,-0,-760338.7718,0,373500,0,-1504.68,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.599907892330486,0.5,0.422680145600083,0.454624996384462,-773677.543623544,98495.32,0.209223753,0.14961
10800,0,0,-400327.600799268,-0,-0,-763827.6008,0,373500,0,-1389.39,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.711712120263028,0.5,0.268040436800248,0.439499995179282,-790655.201599268,98610.61,0.200678984,0.14057
14400,0,0,-398289.084323544,-0,-0,-391735.3391,0,-398289.0843,0,-1330.01,100000,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.822891471494289,0.5,0.250363148988235,0.424374993974103,-1188313.50772354,98669.99,0.201976216,0.14056
18000,0,0,-485746.161690245,-0,-0,0,0,-485746.1617,0,-1261.3,100000,89092.97521,-62750,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.878421486746974,0.5,0.327684015985319,0.402900390668537,-971492.323390245,98738.7000033884,0.207583942,0.14516
21600,0,0,-487656.944173474,-0,-0,0,0,-487656.9442,0,-25186.1,100000,608333.3452,-188333.333333333,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.878421486746974,0.5,0.412821313877448,0.256270230042229,-975313.888373474,74813.9000382351,0.222909454,0.15946
25200,0,1112.5,-515761.032608609,-0,-0,-514648.5326,0,-0.009812737,0,-49335.7,100000,1032778.937,-533750,-367314.061415208,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,0.878421486746974,0.5,0.455473525598678,0.200315439441905,-1029297.07502135,50664.2995517341,0.23400607,0.17157
28800,0,287081.25,-559945.915990369,-0,-0,10.03260861,0,-272920.666,0,-48084.2,273506.969057549,-0,-627916.666666667,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.945478916473325,0.5,0.479344138643524,0,-545775.299381759,-822493.909437549,0.204594962,0.14926
32400,0,1049418.75,-571927.488887267,-0,-0,0,0,477491.2611,0,3928.43,188649.317518669,-0,-477250,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.945477564894134,0.5,0.422493813588234,0,954982.522212733,-665157.801499846,0.190178791,0.14056
