T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,0,0,-391735.725308908,-0,-0,0,0,0,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,0.484874998794821,-391735.725308908,-7.27595761418343e-12,0.254685102,0.19521
3600,0,0,-395127.288299268,-0,-0,0,0,0,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,0.469749997589641,-395127.288299268,-7.27595761418343e-12,0.235038489,0.17445
7200,0,0,-386838.771823544,-0,-0,0,0,373500,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.388315765866786,0.454624996384462,-13338.7718235435,-7.27595761418343e-12,0.209223753,0.14961
10800,0,0,-400327.600799268,-0,-0,300000,0,373500,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.164947297600359,0.439499995179282,273172.399200732,-7.27595761418343e-12,0.200678984,0.14057
14400,0,0,-398289.084323544,-0,-0,742000,0,373500,0,-0,0,62750,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.455634984381419,0.5,0.0408537041190102,0.424374993974103,717210.915676456,-7.27595761418343e-12,0.201976216,0.14056
18000,0,0,-485746.161690245,-0,-0,1122431,0,-450000,0,-0,0,89092.97521,-62750,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.345955305485159,0.5,0.026368843034537,0.402900390668537,186684.838309755,3.38840709446231e-06,0.207583942,0.14516
21600,0,0,-487656.944173474,-0,-0,0,0,-450000,0,-0,0,608333.3452,-188333.333333333,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.179166096465887,0.5,0.140071466941242,0.256270230042229,-937656.944173474,3.82351008738624e-05,0.222909454,0.15946
25200,0,1112.5,-515761.032608609,-0,-0,-514648.5326,0,0.105863719,0,-0,0,1032778.937,-533750,-367314.061415208,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,0.179166096465887,0.5,0.199565786115138,0.200315439441905,-1029296.95934489,-0.00044826592784375,0.23400607,0.17157
28800,0,287081.25,-559945.915990369,-0,-0,-272920.666,0,0,0,-0,0,-0,-627916.666666667,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.258950787943636,0.5,0.199565754459694,0,-545785.331990369,-1047916.6784951,0.204594962,0.14926
32400,0,1049418.75,-571927.488887267,-0,-0,0,0,450000,0,0,0,-0,-477250,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.301297248363587,0.5,0.0567859798914053,0,927491.261112733,-857735.549018515,0.190178791,0.14056
