T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,0,0,-391735.725308908,-0,-0,159538.112726295,0,186751.341039781,0,-1916.11,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,1,-45446.2715428316,-64665.11,0.25468510176,0.19521
3600,0,0,-395127.288299268,-0,-0,159538.112726295,0,186751.341039781,0,-1745.93,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.468207171344276,0.5,0.388314963869459,1,-48837.8345331921,-64494.93,0.23503848924,0.17445
7200,0,0,-386838.771823544,-0,-0,159538.112726295,0,186751.341039781,0,-1504.68,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.444621808286785,0.5,0.276629927738918,1,-40549.3180574675,-64253.68,0.20922375328,0.14961
10800,0,0,-400327.600799268,-0,-0,159538.112726295,0,186751.341039781,0,-1389.39,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.420932390288328,0.5,0.164944891608377,1,-54038.1470331921,-64138.39,0.2006789836,0.14057
14400,0,0,-398289.084323544,-0,-0,159538.112726295,0,186751.341039781,0,-1330.01,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.39717090100155,0.5,0.0532598554778357,1,-51999.6305574675,-64079.01,0.20197621562,0.14056
18000,0,0,-485746.161690245,-0,-0,159538.112726295,0,-0,0,-1261.3,1,0,-62750,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.373336586687178,0.5,0,1,-326208.04896395,-90353.2752066116,0.20758394218,0.14516
21600,0,0,-487656.944173474,-0,-0,159538.112726295,0,-0,0,-25186.1,1,0,-188333.333333333,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.349428776888907,0.5,0,1,-328118.831447179,-633518.445161765,0.22290945388,0.15946
25200,0,1112.5,-515761.032608609,-0,-407132.5,159538.112726295,0,-0,0,-49335.7,1,0,-533750,-367314.061415208,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,0.325446773623076,0.5,0,1,-762242.919882314,-1082113.63744827,0.23400606956,0.17157
28800,0,287081.25,-559945.915990369,-0,-217047.083333333,86113.3249505888,0,-0,0,-48084.2,1,0,-627916.666666667,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.301389109915934,0.5,0,1,-403798.424373114,-1095999.8784951,0.2045949621,0.14926
32400,0,1049418.75,-571927.488887267,-0,-32438.3333333333,-164991.261112733,0,-312500,0,3928.43,1,0,-477250,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.288356484373722,0.5,0.0051757625347606,1,-32438.3333333336,-853806.119018515,0.19017879118,0.14056
36000,0,1648937.5,-544977.197684986,-0,-42573.75,-312500,0,-312500,0,12700.7,1,0,-376750,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.313409759359871,0.5,0.0841359180255283,1,436386.552315014,-731362.361415208,0.17811350914,0.13582
39600,0,1230287.5,-505042.412348595,-0,-757995.833333333,-312500,0,-312500,0,52287.9,1,0,-364166.666666667,-399809.103134583,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.360969038639989,0.5,0.163096073516296,1,-657750.745681928,-711686.86980125,0.17130291428,0.13022
43200,0,1358200,-497512.849054507,-0,-669006.666666667,-312500,0,-312500,0,60700.9,1,0,-351666.666666667,-367314.061415208,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.408376148599625,0.5,0.242056229007064,1,-433319.515721174,-658278.828081875,0.17035473944,0.12872
46800,0,931306.25,-507461.418179171,-0,-563144.166666667,-111344.831820829,0,-312500,-0,148898,1,0,-339083.333333333,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.455462377250443,0.5,0.321016384497832,1,-563144.166666667,-570669.882351848,0.17129463586,0.12993
50400,0,1449737.5,-539057.180367322,-26675,-820760,-312500,0,-312500,0,108168,1,0,-313916.666666667,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.472136120978143,0.5,0.399976539988599,1,-561754.680367321,-586233.215685181,0.17043701158,0.1289
54000,0,1487075,-556814.997879199,-91625,-184033.75,-312500,0,-312500,0,92478.7,1,0,-326500,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.518633940361284,0.5,0.478936695479367,1,29601.2521208011,-627677.33662182,0.16784018318,0.12529
57600,0,1547712.5,-548009.321673009,-114812.5,-38177.9166666667,-312500,0,-312500,0,142138,1,0,-339083.333333333,-399809.103134583,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.565046251032597,0.5,0.557896850970135,1,221712.761660325,-623096.411674528,0.17468782278,0.12832
61200,0,612237.5,-497718.725844649,-285181.25,-0,0,0,-114518.774155351,-0,-3979.18,1,0,-351666.666666667,-367314.061415208,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.611151136348769,0.5,0.611844801057788,1,-285181.25,-749301.883288486,0.18501296236,0.13632
64800,0,79631.25,-417148.006244706,-356331.25,-0,150765.415204925,0,186751.341039781,0,-3636.21,1,0,-370500,-0,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,0.611151136348769,0.5,0.581456606718957,1,-356331.25,-479507.110826447,0.25895084008,0.19972
68400,0,31.25,-465631.278592077,-324737.5,-0,159538.112726295,0,186751.341039781,0,-3366.21,1,0,-496083.333333333,-0,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,-10537.1900826447,0.589282969618552,0.5,0.469771570588416,1,-444048.074826002,-604820.44415978,0.2774342299,0.21782
72000,0,0,-512742.029747249,-247850,-0,159538.112726295,0,186751.341039781,0,-2405.64,1,0,-464666.666666667,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.566147421786879,0.5,0.358086534457875,1,-414302.575981173,-493414.281873278,0.2845287506,0.22479
75600,0,0,-508746.044235439,-0,-0,159538.112726295,0,186751.341039781,0,-2027.3,1,0,-270000,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.542909372569631,0.5,0.246401498327334,1,-162456.590469363,-298369.275206611,0.28195294774,0.22303
