T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P2rk,P_csp,P_tsp,P_ess_PCM,P_c_Ctbu_1,P_c_Ctbu_2,P_c_Ctbu_3,P_c_Ctbu_4,P_c_Ctbu_5,P_c_Ctbu_6,P_c_Ctbu_7,P_c_Ctbu_8,P_c_Ctbu_9,P_c_Ctbu_10,P_c_Ctbu_11,P_c_Ctbu_12,SOC_BAT,SOC_SC,SOC_HP,SOC_PCM,Pe_grid,Pt_grid,EP_con,EP_gen
0,883606.25,0,-413727.912808908,-0,-0,-157378.337191092,0,-312500,0,-1916.11,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.5,0.5,0.5,1,4.65661287307739e-10,-64665.11,0.225964406,0.12923
3600,650893.75,0,-381738.225799268,-0,-0,-0,0,-269155.524200732,0,-1745.93,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.531362427591351,0.5,0.573484177012726,1,-1.16415321826935e-10,-64494.93,0.220664964,0.12206
7200,712950,0,-402685.646823544,-0,-0,-0,0,-310264.353176456,0,-1504.68,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.531362427591351,0.5,0.646685910792157,1,4.65661287307739e-10,-64253.68,0.212134185,0.11139
10800,646381.25,0,-402794.788299268,-0,-0,-0,0,-243586.461700732,0,-1389.39,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.531362427591351,0.5,0.716657345130383,1,-8.73114913702011e-11,-64138.39,0.20442176,0.10307
14400,713575,0,-418048.459323544,-0,-0,-0,0,-295526.540676456,0,-1330.01,1,0,-62750,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.531362427591351,0.5,0.784766859522059,1,4.65661287307739e-10,-64079.01,0.199632016,0.10039
18000,495637.5,0,-526019.599190245,-0,-0,0,0,30382.0991902451,0,-1261.3,1,0,-62750,-0,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,-2634.29752066116,0.531362427591351,0.5,0.818264213645681,1,-5.45696821063757e-11,-90353.2752066116,0.201946727,0.10307
21600,293306.25,0,-553850.694173474,-0,-0,34016.449470073,0,163004.816233297,0,-25186.1,1,0,-188333.333333333,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.531362427591351,0.5,0.760437521435607,1,-63523.1784701041,-633518.445161765,0.203437148,0.1104
25200,171306.25,0,-673178.220108609,-0,-217047.083333333,34016.449470073,0,163004.816233297,0,-49335.7,1,0,-533750,-367314.061415208,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,-13171.4876033058,0.526355818751266,0.5,0.662953890586659,1,-521897.787738572,-1082113.63744827,0.202050513,0.12137
28800,86112.5,8731.25,-776580.290990369,-0,-439570.833333333,34016.449470073,0,163004.816233297,0,-48084.2,1,0,-627916.666666667,-367314.061415208,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,-5268.59504132232,0.521349465182808,0.5,0.565470259737711,1,-924286.108620333,-1095999.8784951,0.24298139,0.13939
32400,99256.25,269143.75,-785338.426387267,-0,-225836.666666667,34016.449470073,0,163004.816233297,0,3928.43,1,0,-477250,-367314.061415208,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,-1317.14876033057,0.516339319616795,0.5,0.467986628888763,1,-445753.827350564,-853806.119018515,0.234317616,0.13416
